timestamp,region,service_type,usage_units,provisioned_capacity,cost_usd,availability_pct,is_holiday,utilization_rate,cost_per_unit,buffer_units,year,month,day_of_week,day_of_month,quarter,is_weekend
2023-04-01,India-South,Storage,10652.0,14277.0,214.69,99.74,0,74.61,0.0202,3625.0,2023,4,5,1,2,1
2023-04-01,Europe-North,Compute,12578.0,15415.0,701.72,99.82,0,81.6,0.0558,2837.0,2023,4,5,1,2,1
2023-04-01,US-East,Storage,9329.0,10522.0,211.01027521340745,99.9,0,88.66,0.0226,1193.0,2023,4,5,1,2,1
2023-04-01,US-West,Compute,9251.0,11837.0,464.3,99.97,0,78.15,0.0502,2586.0,2023,4,5,1,2,1
2023-04-01,Europe-North,Storage,8846.0,10775.0,226.57,99.85,0,82.1,0.0256,1929.0,2023,4,5,1,2,1
2023-04-01,US-West,Storage,11184.0,12973.0,307.44,99.97,0,86.21,0.0275,1789.0,2023,4,5,1,2,1
2023-04-01,India-South,Compute,7530.0,8788.0,394.28,99.81,0,85.69,0.0524,1258.0,2023,4,5,1,2,1
2023-04-01,US-East,Compute,7308.0,9829.0,378.8,99.79,0,74.35,0.0518,2521.0,2023,4,5,1,2,1
2023-04-02,US-West,Storage,14296.0,16555.0,328.51,99.83,0,86.35,0.023,2259.0,2023,4,6,2,2,1
2023-04-02,US-West,Compute,14249.0,17476.0,799.76,99.84,0,81.53,0.0561,3227.0,2023,4,6,2,2,1
2023-04-02,Europe-North,Compute,12845.0,15649.0,693.6,99.91,0,82.08,0.054,2804.0,2023,4,6,2,2,1
2023-04-02,India-South,Storage,9355.0,10979.0,188.12,99.82,0,85.21,0.0201,1624.0,2023,4,6,2,2,1
2023-04-02,India-South,Compute,9972.0,13203.0,549.69,99.93,0,75.53,0.0551,3231.0,2023,4,6,2,2,1
2023-04-02,US-East,Storage,9329.0,12312.0,184.0,99.83,0,75.77,0.0197,2983.0,2023,4,6,2,2,1
2023-04-03,US-West,Compute,12555.0,14632.0,648.13,99.91,0,85.81,0.0516,2077.0,2023,4,0,3,2,0
2023-04-03,India-South,Storage,10758.0,12293.0,266.81,99.82,0,87.51,0.0248,1535.0,2023,4,0,3,2,0
2023-04-03,US-East,Compute,11595.0,14535.0,599.51,99.93,0,79.77,0.0517,2940.0,2023,4,0,3,2,0
2023-04-03,Europe-North,Compute,8380.0,9405.0,481.51,99.97,0,89.1,0.0575,1025.0,2023,4,0,3,2,0
2023-04-03,India-South,Compute,9592.333333333334,10691.0,473.2387302508497,99.95,1,89.72,0.0493,1098.67,2023,4,0,3,2,0
2023-04-03,US-West,Storage,9480.0,12677.0,209.7,99.9,0,74.78,0.0221,3197.0,2023,4,0,3,2,0
2023-04-03,Europe-North,Storage,8321.0,10989.0,152.16,99.78,0,75.72,0.0183,2668.0,2023,4,0,3,2,0
2023-04-04,US-East,Storage,12993.0,16265.0,353.95,99.81,1,79.88,0.0272,3272.0,2023,4,1,4,2,0
2023-04-04,US-West,Compute,8764.0,10073.0,503.1,99.77,0,87.0,0.0574,1309.0,2023,4,1,4,2,0
2023-04-04,US-West,Storage,9177.5,8747.0,207.58353529542788,99.87,0,104.92,0.0226,-430.5,2023,4,1,4,2,0
2023-04-04,India-South,Storage,10548.0,11588.0,238.58252577457623,99.98,0,91.03,0.0226,1040.0,2023,4,1,4,2,0
2023-04-04,Europe-North,Storage,10064.0,12844.0,235.45,99.81,0,78.36,0.0234,2780.0,2023,4,1,4,2,0
2023-04-04,India-South,Compute,9212.666666666666,10650.0,454.5078370460084,99.78,0,86.5,0.0493,1437.33,2023,4,1,4,2,0
2023-04-05,US-West,Storage,8875.0,11402.0,214.95,99.87,0,77.84,0.0242,2527.0,2023,4,2,5,2,0
2023-04-05,India-South,Storage,10338.0,13016.0,255.92,99.88,0,79.43,0.0248,2678.0,2023,4,2,5,2,0
