feature,importance
provisioned_capacity,0.9127600356134313
capacity_utilization,0.04040623548602939
utilization_pct,0.03387686619235464
buffer_capacity,0.011348634546210974
rolling_std_7,0.0008395539718346295
high_stress_flag,0.00018112464814592176
lag_1,0.00013511791343772997
rolling_mean_7,0.00013224686190543633
availability_pct,7.899405921165974e-05
lag_7,4.6919634103688844e-05
lag_30,4.689661504866244e-05
cost_per_unit,3.8336021151948296e-05
region_encoded,3.358415885418194e-05
day_of_week,2.5967031928203337e-05
week_of_year,2.0004197316248258e-05
year,1.135455309657175e-05
over_provisioned_flag,5.644577143741494e-06
month,3.469492224586153e-06
quarter,3.2884369634119253e-06
service_type_encoded,3.205865993062379e-06
is_holiday,1.6420564614974653e-06
is_weekend,8.780671524130026e-07
