date,region,service_type,predicted_usage,provisioned_capacity,predicted_utilization_pct,predicted_cost_usd,forecast_confidence
2025-04-01,Europe-North,Compute,12687.4,18128,69.99,627.74,Medium
2025-04-02,Europe-North,Compute,12866.5,18128,70.98,636.6,Medium
2025-04-03,Europe-North,Compute,13045.6,18128,71.96,645.46,Medium
2025-04-04,Europe-North,Compute,13224.7,18128,72.95,654.32,Medium
2025-04-05,Europe-North,Compute,11393.23,18128,62.85,563.71,Medium
2025-04-06,Europe-North,Compute,11545.46,18128,63.69,571.24,Medium
2025-04-07,Europe-North,Compute,13762.0,18128,75.92,680.91,Medium
2025-04-08,Europe-North,Compute,13941.1,18128,76.9,689.77,Medium
2025-04-09,Europe-North,Compute,14120.2,18128,77.89,698.63,Medium
2025-04-10,Europe-North,Compute,14299.3,18128,78.88,707.49,Medium
2025-04-11,Europe-North,Compute,14478.4,18128,79.87,716.35,Medium
2025-04-12,Europe-North,Compute,12458.88,18128,68.73,616.43,Medium
2025-04-13,Europe-North,Compute,12611.11,18128,69.57,623.96,Medium
2025-04-14,Europe-North,Compute,15015.7,18128,82.83,742.94,Medium
2025-04-15,Europe-North,Compute,15194.8,18128,83.82,751.8,Medium
2025-04-16,Europe-North,Compute,15373.9,18128,84.81,760.66,Medium
2025-04-17,Europe-North,Compute,15553.0,18128,85.8,769.52,Medium
2025-04-18,Europe-North,Compute,15732.1,18128,86.78,778.38,Medium
2025-04-19,Europe-North,Compute,13524.52,18128,74.61,669.16,Medium
2025-04-20,Europe-North,Compute,13676.76,18128,75.45,676.69,Medium
2025-04-21,Europe-North,Compute,16269.4,18128,89.75,804.97,Medium
2025-04-22,Europe-North,Compute,16448.5,18128,90.74,813.83,Medium
2025-04-23,Europe-North,Compute,16627.6,18128,91.72,822.69,Medium
2025-04-24,Europe-North,Compute,16806.7,18128,92.71,831.55,Medium
2025-04-25,Europe-North,Compute,16985.8,18128,93.7,840.41,Medium
2025-04-26,Europe-North,Compute,14590.16,18128,80.48,721.88,Medium
2025-04-27,Europe-North,Compute,14742.4,18128,81.32,729.41,Medium
2025-04-28,Europe-North,Compute,17523.1,18128,96.66,867.0,Medium
2025-04-29,Europe-North,Compute,17702.2,18128,97.65,875.86,Medium
2025-04-30,Europe-North,Compute,17881.3,18128,98.64,884.72,Medium
2025-04-01,Europe-North,Storage,11336.62,14801,76.59,225.82,Medium
2025-04-02,Europe-North,Storage,11294.22,14801,76.31,224.97,Medium
